     Entity       date vaccines CP_int CP_t1 CP_t2
1   Germany 2021-06-11   868754      0     0     0
2   Germany 2021-06-12   872126      0     1     0
3   Germany 2021-06-13   870794      0     2     0
4   Germany 2021-06-14   876748      0     3     0
5   Germany 2021-06-15   875675      0     4     0
6   Germany 2021-06-16   869641      0     5     0
7   Germany 2021-06-17   863260      0     6     0
8   Germany 2021-06-18   853015      0     7     0
9   Germany 2021-06-19   851784      0     8     0
10  Germany 2021-06-20   853503      0     9     0
11  Germany 2021-06-21   850098      0    10     0
12  Germany 2021-06-22   854222      0    11     0
13  Germany 2021-06-23   847213      0    12     0
14  Germany 2021-06-24   831169      0    13     0
15  Germany 2021-06-25   820853      0    14     0
16  Germany 2021-06-26   818405      0    15     0
17  Germany 2021-06-27   817959      0    16     0
18  Germany 2021-06-28   817659      0    17     0
19  Germany 2021-06-29   796989      0    18     0
20  Germany 2021-06-30   752285      0    19     0
21  Germany 2021-07-01   744401      0    20     0
22  Germany 2021-07-02   733568      0    21     0
23  Germany 2021-07-03   728830      0    22     0
24  Germany 2021-07-04   726190      0    23     0
25  Germany 2021-07-05   712793      0    24     0
26  Germany 2021-07-06   690442      0    25     0
27  Germany 2021-07-07   686432      0    26     0
28  Germany 2021-07-08   667251      0    27     0
29  Germany 2021-07-09   654554      0    28     0
30  Germany 2021-07-10   649743      0    29     0
31  Germany 2021-07-11   643321      0    30     0
32  Germany 2021-07-12   633577      0    31     0
33  Germany 2021-07-13   631222      0    32     0
34  Germany 2021-07-14   628393      0    33     0
35  Germany 2021-07-15   616956      0    34     0
36  Germany 2021-07-16   603118      0    35     0
37  Germany 2021-07-17   592955      0    36     0
38  Germany 2021-07-18   588944      0    37     0
39  Germany 2021-07-19   576673      0    38     0
40  Germany 2021-07-20   554642      0    39     0
41  Germany 2021-07-21   523053      0    40     0
42  Germany 2021-07-22   502168      0    41     0
43  Germany 2021-07-23   489415      0    42     0
44  Germany 2021-07-24   480714      0    43     0
45  Germany 2021-07-25   469863      0    44     0
46  Germany 2021-07-26   463704      0    45     0
47  Germany 2021-07-27   456012      0    46     0
48  Germany 2021-07-28   446821      0    47     0
49  Germany 2021-07-29   440541      0    48     0
50  Germany 2021-07-30   430026      0    49     0
51  Germany 2021-07-31   427664      0    50     0
52  Germany 2021-08-01   426647      0    51     0
53  Germany 2021-08-02   420185      0    52     0
54  Germany 2021-08-03   407057      0    53     0
55  Germany 2021-08-04   390189      0    54     0
56  Germany 2021-08-05   381558      0    55     0
57  Germany 2021-08-06   373384      0    56     0
58  Germany 2021-08-07   371996      0    57     0
