"region","country","country_code","age_group","age_lower","age_upper","pop_date","pop_male","pop_female","pop_both"
"Europe","Austria","AUT","'0-4",0,4,2019-01-01,"224072","211061","435133"
"Europe","Austria","AUT","'5-14",5,14,2019-01-01,"433500","410059","843559"
"Europe","Austria","AUT","'15-24",15,24,2019-01-01,"500178","469589","969767"
"Europe","Austria","AUT","'25-34",25,34,2019-01-01,"615441","591433","1206874"
"Europe","Austria","AUT","'35-44",35,44,2019-01-01,"585813","580801","1166614"
"Europe","Austria","AUT","'45-54",45,54,2019-01-01,"678689","679454","1358143"
"Europe","Austria","AUT","'55-64",55,64,2019-01-01,"596511","613615","1210126"
"Europe","Austria","AUT","'65-74",65,74,2019-01-01,"388398","445072","833470"
"Europe","Austria","AUT","'75-84",75,84,2019-01-01,"261249","347902","609151"
"Europe","Austria","AUT","'85+",85,NA,2019-01-01,"73182","152756","225938"
"Europe","Austria","AUT","'Total",NA,NA,2019-01-01,"4357033","4501742","8858775"
"Europe","Austria","AUT","'0-4",0,4,2020-01-01,"224096","211739","435835"
"Europe","Austria","AUT","'5-14",5,14,2020-01-01,"435590","411635","847225"
"Europe","Austria","AUT","'15-24",15,24,2020-01-01,"491758","463867","955625"
"Europe","Austria","AUT","'25-34",25,34,2020-01-01,"617223","591807","1209030"
"Europe","Austria","AUT","'35-44",35,44,2020-01-01,"590628","584117","1174745"
"Europe","Austria","AUT","'45-54",45,54,2020-01-01,"665454","668403","1333857"
"Europe","Austria","AUT","'55-64",55,64,2020-01-01,"618087","633033","1251120"
"Europe","Austria","AUT","'65-74",65,74,2020-01-01,"393151","448884","842035"
"Europe","Austria","AUT","'75-84",75,84,2020-01-01,"268460","356807","625267"
"Europe","Austria","AUT","'85+",85,NA,2020-01-01,"74325","152000","226325"
"Europe","Austria","AUT","'Total",NA,NA,2020-01-01,"4378772","4522292","8901064"
"Europe","Belgium","BEL","'0-24",0,24,2020-01-01,"1653075","1584423","3237498"
"Europe","Belgium","BEL","'25-44",25,44,2020-01-01,"1486998","1481633","2968631"
"Europe","Belgium","BEL","'45-64",45,64,2020-01-01,"1546411","1535623","3082034"
"Europe","Belgium","BEL","'65-74",65,74,2020-01-01,"560071","610328","1170399"
"Europe","Belgium","BEL","'75-84",75,84,2020-01-01,"301971","396969","698940"
"Europe","Belgium","BEL","'85+",85,NA,2020-01-01,"111538","223601","335139"
"Europe","Belgium","BEL","'Total",NA,NA,2020-01-01,"5660064","5832577","11492641"
"Americas","Canada","CAN","'0-19",0,19,2020-07-01,"4160809","3978703","8139512"
"Americas","Canada","CAN","'20-29",20,29,2020-07-01,"2661191","2466851","5128042"
"Americas","Canada","CAN","'30-39",30,39,2020-07-01,"2667706","2624697","5292403"
"Americas","Canada","CAN","'40-49",40,49,2020-07-01,"2405182","2449181","4854363"
"Americas","Canada","CAN","'50-59",50,59,2020-07-01,"2582542","2612269","5194811"
"Americas","Canada","CAN","'60-69",60,69,2020-07-01,"2310787","2416729","4727516"
"Americas","Canada","CAN","'70-79",70,79,2020-07-01,"1423989","1580936","3004925"
"Americas","Canada","CAN","'80+",80,NA,2020-07-01,"673055","990611","1663666"
"Americas","Canada","CAN","'Total",NA,NA,2020-07-01,"18885261","19119977","38005238"
"Europe","Denmark","DNK","'0-9",0,9,2020-01-01,"315413","299076","614489"
"Europe","Denmark","DNK","'10-19",10,19,2020-01-01,"349387","332524","681911"
"Europe","Denmark","DNK","'20-29",20,29,2020-01-01,"399362","383339","782701"
"Europe","Denmark","DNK","'30-39",30,39,2020-01-01,"348812","337996","686808"
"Europe","Denmark","DNK","'40-49",40,49,2020-01-01,"378630","377418","756048"
"Europe","Denmark","DNK","'50-59",50,59,2020-01-01,"402352","398092","800444"
"Europe","Denmark","DNK","'60-69",60,69,2020-01-01,"326395","337251","663646"
"Europe","Denmark","DNK","'70-79",70,79,2020-01-01,"268076","296314","564390"
"Europe","Denmark","DNK","'80-89",80,89,2020-01-01,"95518","131780","227298"
"Europe","Denmark","DNK","'90+",90,NA,2020-01-01,"12973","32055","45028"
"Europe","Denmark","DNK","'Total",NA,NA,2020-01-01,"2896918","2925845","5822763"
"Europe","Denmark","DNK","'0-9",0,9,2021-01-01,"313103","297107","610210"
"Europe","Denmark","DNK","'10-19",10,19,2021-01-01,"348549","331491","680040"
"Europe","Denmark","DNK","'20-29",20,29,2021-01-01,"397273","381467","778740"
"Europe","Denmark","DNK","'30-39",30,39,2021-01-01,"354174","342505","696679"
"Europe","Denmark","DNK","'40-49",40,49,2021-01-01,"374633","374191","748824"
"Europe","Denmark","DNK","'50-59",50,59,2021-01-01,"402277","398889","801166"
"Europe","Denmark","DNK","'60-69",60,69,2021-01-01,"328751","338832","667583"
"Europe","Denmark","DNK","'70-79",70,79,2021-01-01,"272754","301943","574697"
"Europe","Denmark","DNK","'80-89",80,89,2021-01-01,"100102","136546","236648"
"Europe","Denmark","DNK","'90+",90,NA,2021-01-01,"13241","32217","45458"
"Europe","Denmark","DNK","'Total",NA,NA,2021-01-01,"2904857","2935188","5840045"
"Europe","France","FRA","0-24",0,24,2020-01-01,"10125835","9716390","19842225"
"Europe","France","FRA","25-34",25,34,2020-01-01,"3801364","3968531","7769895"
"Europe","France","FRA","35-44",35,44,2020-01-01,"4060992","4243022","8304014"
"Europe","France","FRA","45-54",45,54,2020-01-01,"4407728","4530225","8937953"
"Europe","France","FRA","55-64",55,64,2020-01-01,"4073533","4385505","8459038"
"Europe","France","FRA","65-74",65,74,2020-01-01,"3448016","3929026","7377042"
"Europe","France","FRA","75-84",75,84,2020-01-01,"1751847","2333721","4085568"
"Europe","France","FRA","85-94",85,94,2020-01-01,"679521","1374792","2054313"
"Europe","France","FRA","95+",95,NA,2020-01-01,"48343","185312","233655"
"Europe","France","FRA","'Total",NA,NA,2020-01-01,"32397179","34666524","67063703"
"Europe","France","FRA","'0-9",0,9,2020-01-01,"3957228","3798527","7755755"
"Europe","France","FRA","'10-19",10,19,2020-01-01,"4266196","4062792","8328988"
"Europe","France","FRA","'20-29",20,29,2020-01-01,"3737191","3733717","7470908"
"Europe","France","FRA","'30-39",30,39,2020-01-01,"4025803","4262454","8288257"
"Europe","France","FRA","'40-49",40,49,2020-01-01,"4233782","4350667","8584449"
"Europe","France","FRA","'50-59",50,59,2020-01-01,"4294564","4490542","8785106"
"Europe","France","FRA","'60-69",60,69,2020-01-01,"3792182","4207424","7999606"
"Europe","France","FRA","'70-79",70,79,2020-01-01,"2598072","3095588","5693660"
"Europe","France","FRA","'80-89",80,89,2020-01-01,"1251693","1992850","3244543"
"Europe","France","FRA","'90+",90,NA,2020-01-01,"240468","671963","912431"
"Europe","France","FRA","'Total",NA,NA,2020-01-01,"32397179","34666524","67063703"
"Europe","France","FRA","'0-9",0,9,2021-01-01,"3930323","3775718","7706041"
"Europe","France","FRA","'10-19",10,19,2021-01-01,"4314155","4107759","8421914"
"Europe","France","FRA","'20-29",20,29,2021-01-01,"3772649","3753334","7525983"
"Europe","France","FRA","'30-39",30,39,2021-01-01,"4022585","4256992","8279577"
"Europe","France","FRA","'40-49",40,49,2021-01-01,"4221500","4351213","8572713"
"Europe","France","FRA","'50-59",50,59,2021-01-01,"4310500","4503399","8813899"
"Europe","France","FRA","'60-69",60,69,2021-01-01,"3784930","4215873","8000803"
"Europe","France","FRA","'70-79",70,79,2021-01-01,"2717283","3241978","5959261"
"Europe","France","FRA","'80-89",80,89,2021-01-01,"1247881","1966174","3214055"
"Europe","France","FRA","'90+",90,NA,2021-01-01,"245765","682230","927995"
"Europe","France","FRA","'Total",NA,NA,2021-01-01,"32567571","34854670","67422241"
"Europe","Germany","DEU","'0-9",0,9,2019-01-01,"3896272","3692363","7588635"
