Day,Total_cases,7-day_rolling_average,Precentage_Omicron,Cases_est_Delta,Cases_est_Omicron,Cases_Omicron,Cases_Delta
01/09/2021,737,,,,,,
02/09/2021,664,,,,,,
03/09/2021,657,,,,,,
04/09/2021,371,,,,,,
05/09/2021,314,,,,,,
06/09/2021,829,,,,,,
07/09/2021,719,613,,613,0,0,719
08/09/2021,618,596,,596,0,0,618
09/09/2021,561,581.3,,581.3,0,0,561
10/09/2021,564,568,,568,0,0,564
11/09/2021,251,550.9,,550.9,0,0,251
12/09/2021,226,538.3,,538.3,0,0,226
13/09/2021,686,517.9,,517.9,0,0,686
14/09/2021,549,493.6,,493.6,0,0,549
15/09/2021,467,472,,472,0,0,467
16/09/2021,469,458.9,,458.9,0,0,469
17/09/2021,414,437.4,,437.4,0,0,414
18/09/2021,201,430.3,,430.3,0,0,201
19/09/2021,143,418.4,,418.4,0,0,143
20/09/2021,500,391.9,,391.9,0,0,500
21/09/2021,419,373.3,,373.3,0,0,419
22/09/2021,425,367.3,,367.3,0,0,425
23/09/2021,384,355.1,,355.1,0,0,384
24/09/2021,414,355.1,,355.1,0,0,414
25/09/2021,204,355.6,,355.6,0,0,204
26/09/2021,177,360.4,,360.4,0,0,177
27/09/2021,570,370.4,,370.4,0,0,570
28/09/2021,468,377.4,,377.4,0,0,468
29/09/2021,426,377.6,,377.6,0,0,426
30/09/2021,411,381.4,,381.4,0,0,411
01/10/2021,374,375.7,,375.7,0,0,374
02/10/2021,177,371.9,,371.9,0,0,177
03/10/2021,147,367.6,,367.6,0,0,147
04/10/2021,428,347.3,,347.3,0,0,428
05/10/2021,314,325.3,,325.3,0,0,314
06/10/2021,299,307.1,,307.1,0,0,299
07/10/2021,265,286.3,,286.3,0,0,265
08/10/2021,296,275.1,,275.1,0,0,296
09/10/2021,146,270.7,,270.7,0,0,146
10/10/2021,93,263,,263,0,0,93
11/10/2021,362,253.6,,253.6,0,0,362
12/10/2021,177,234,,234,0,0,177
13/10/2021,331,238.6,,238.6,0,0,331
14/10/2021,331,248,,248,0,0,331
15/10/2021,346,255.1,,255.1,0,0,346
16/10/2021,159,257,,257,0,0,159
17/10/2021,117,260.4,,260.4,0,0,117
18/10/2021,402,266.1,,266.1,0,0,402
19/10/2021,314,285.7,,285.7,0,0,314
20/10/2021,378,292.4,,292.4,0,0,378
21/10/2021,286,286,,286,0,0,286
22/10/2021,325,283,,283,0,0,325
23/10/2021,162,283.4,,283.4,0,0,162
24/10/2021,112,282.7,,282.7,0,0,112
25/10/2021,483,294.3,,294.3,0,0,483
26/10/2021,335,297.3,,297.3,0,0,335
27/10/2021,382,297.9,,297.9,0,0,382
28/10/2021,410,315.6,,315.6,0,0,410
29/10/2021,400,326.3,,326.3,0,0,400
30/10/2021,205,332.4,,332.4,0,0,205
31/10/2021,178,341.9,,341.9,0,0,178
01/11/2021,192,300.3,,300.3,0,0,192
02/11/2021,701,352.6,,352.6,0,0,701
03/11/2021,523,372.7,,372.7,0,0,523
04/11/2021,522,388.7,,388.7,0,0,522
05/11/2021,590,415.9,,415.9,0,0,590
06/11/2021,321,432.4,,432.4,0,0,321
07/11/2021,252,443,,443,0,0,252
08/11/2021,828,533.9,,533.9,0,0,828
09/11/2021,885,560.1,,560.1,0,0,885
10/11/2021,784,597.4,,597.4,0,0,784
11/11/2021,849,644.1,,644.1,0,0,849
12/11/2021,1077,713.7,,713.7,0,0,1077
13/11/2021,569,749.1,,749.1,0,0,569
14/11/2021,436,775.4,,775.4,0,0,436
15/11/2021,1462,866,,866,0,0,1462
16/11/2021,1296,924.7,,924.7,0,0,1296
17/11/2021,1290,997,,997,0,0,1290
18/11/2021,1349,1068.4,,1068.4,0,0,1349
19/11/2021,1573,1139.3,,1139.3,0,0,1573
20/11/2021,845,1178.7,0.0%,1178.4,0.3,0,845
21/11/2021,605,1202.9,0.0%,1202.4,0.4,0,605
22/11/2021,2217,1310.7,0.0%,1310.1,0.6,0,2217
23/11/2021,1977,1408,0.1%,1407,1,1.977,1975.023
24/11/2021,2021,1512.4,0.1%,1511.1,1.3,2.021,2018.979
25/11/2021,2066,1614.9,0.1%,1613.1,1.8,2.066,2063.934
26/11/2021,2250,1711.6,0.1%,1709.2,2.4,2.25,2247.75
27/11/2021,1113,1749.9,0.2%,1746.8,3.1,2.226,1110.774
28/11/2021,805,1778.4,0.2%,1774.4,4,1.61,803.39
29/11/2021,2858,1870,0.3%,1864.7,5.3,8.574,2849.426
30/11/2021,2917,2004.3,0.4%,1997.1,7.2,11.668,2905.332
01/12/2021,2945,2136.3,0.5%,2126.6,9.7,14.725,2930.275
02/12/2021,3233,2303,0.6%,2289.8,13.2,19.398,3213.602
03/12/2021,3168,2434.1,0.7%,2416.6,17.6,22.176,3145.824
04/12/2021,1786,2530.3,0.9%,2507.2,23.1,16.074,1769.926
05/12/2021,1315,2603.1,1.2%,2573.2,30,15.78,1299.22
06/12/2021,1619,2426.1,1.5%,2390.9,35.2,24.285,1594.715
07/12/2021,4765,2690.1,1.8%,2640.9,49.2,85.77,4679.23
