Day,TAR_symptom,7-day_rolling_average,Precentage_Omicron,Cases_est_Delta,Cases_est_Omicron,,
01/09/2021,323,,,,,,
02/09/2021,303,,,,,,
03/09/2021,299,,,,,,
04/09/2021,148,,,,,,
05/09/2021,160,,,,,,
06/09/2021,381,,,,,,
07/09/2021,276,270,,270,0,0,276
08/09/2021,264,261.6,,261.6,0,0,264
09/09/2021,231,251.3,,251.3,0,0,231
10/09/2021,201,237.3,,237.3,0,0,201
11/09/2021,96,229.9,,229.9,0,0,96
12/09/2021,96,220.7,,220.7,0,0,96
13/09/2021,289,207.6,,207.6,0,0,289
14/09/2021,198,196.4,,196.4,0,0,198
15/09/2021,199,187.1,,187.1,0,0,199
16/09/2021,169,178.3,,178.3,0,0,169
17/09/2021,131,168.3,,168.3,0,0,131
18/09/2021,86,166.9,,166.9,0,0,86
19/09/2021,59,161.6,,161.6,0,0,59
20/09/2021,210,150.3,,150.3,0,0,210
21/09/2021,148,143.1,,143.1,0,0,148
22/09/2021,155,136.9,,136.9,0,0,155
23/09/2021,141,132.9,,132.9,0,0,141
24/09/2021,153,136,,136,0,0,153
25/09/2021,84,135.7,,135.7,0,0,84
26/09/2021,74,137.9,,137.9,0,0,74
27/09/2021,225,140,,140,0,0,225
28/09/2021,148,140,,140,0,0,148
29/09/2021,158,140.4,,140.4,0,0,158
30/09/2021,141,140.4,,140.4,0,0,141
01/10/2021,119,135.6,,135.6,0,0,119
02/10/2021,44,129.9,,129.9,0,0,44
03/10/2021,56,127.3,,127.3,0,0,56
04/10/2021,175,120.1,,120.1,0,0,175
05/10/2021,105,114,,114,0,0,105
06/10/2021,95,105,,105,0,0,95
07/10/2021,97,98.7,,98.7,0,0,97
08/10/2021,82,93.4,,93.4,0,0,82
09/10/2021,63,96.1,,96.1,0,0,63
10/10/2021,44,94.4,,94.4,0,0,44
11/10/2021,130,88,,88,0,0,130
12/10/2021,64,82.1,,82.1,0,0,64
13/10/2021,151,90.1,,90.1,0,0,151
14/10/2021,119,93.3,,93.3,0,0,119
15/10/2021,131,100.3,,100.3,0,0,131
16/10/2021,65,100.6,,100.6,0,0,65
17/10/2021,57,102.4,,102.4,0,0,57
18/10/2021,172,108.4,,108.4,0,0,172
19/10/2021,135,118.6,,118.6,0,0,135
20/10/2021,146,117.9,,117.9,0,0,146
21/10/2021,122,118.3,,118.3,0,0,122
22/10/2021,138,119.3,,119.3,0,0,138
23/10/2021,68,119.7,,119.7,0,0,68
24/10/2021,46,118.1,,118.1,0,0,46
25/10/2021,202,122.4,,122.4,0,0,202
26/10/2021,136,122.6,,122.6,0,0,136
27/10/2021,144,122.3,,122.3,0,0,144
28/10/2021,167,128.7,,128.7,0,0,167
29/10/2021,151,130.6,,130.6,0,0,151
30/10/2021,97,134.7,,134.7,0,0,97
31/10/2021,80,139.6,,139.6,0,0,80
01/11/2021,86,123,,123,0,0,86
02/11/2021,279,143.4,,143.4,0,0,279
03/11/2021,180,148.6,,148.6,0,0,180
04/11/2021,171,149.1,,149.1,0,0,171
05/11/2021,237,161.4,,161.4,0,0,237
06/11/2021,133,166.6,,166.6,0,0,133
07/11/2021,101,169.6,,169.6,0,0,101
