NOM;CODI;DATA;SEXE;GRUP_EDAT;CASOS_CONFIRMAT;PCR;TAR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2022-01-19;Altres;N/A;344;191;683;0;0;136;32;0;35;309;33;158;176;618;43;39
CATALUNYA;GLOBAL;2022-01-19;Dona;0 a 9;2534;65;6532;0;0;9;3;0;24;2510;20;949;59;5443;625;1
CATALUNYA;GLOBAL;2022-01-19;Dona;10 a 19;2265;98;10123;0;0;17;0;0;20;2245;18;1044;73;7938;515;270
CATALUNYA;GLOBAL;2022-01-19;Dona;20 a 29;1197;233;1496;0;1;36;5;0;29;1168;27;313;144;905;143;385
CATALUNYA;GLOBAL;2022-01-19;Dona;30 a 39;2295;303;2181;0;1;61;5;0;49;2246;48;563;193;1190;141;917
CATALUNYA;GLOBAL;2022-01-19;Dona;40 a 49;2664;366;2737;0;1;58;12;0;37;2627;38;703;244;1541;112;1048
CATALUNYA;GLOBAL;2022-01-19;Dona;50 a 59;1096;296;1520;1;0;118;28;0;16;1080;18;313;202;1048;65;684
CATALUNYA;GLOBAL;2022-01-19;Dona;60 a 69;542;128;665;0;2;191;56;0;15;527;14;161;92;473;30;364
CATALUNYA;GLOBAL;2022-01-19;Dona;70 a 79;358;94;477;0;0;198;24;0;8;350;8;110;78;341;16;83
CATALUNYA;GLOBAL;2022-01-19;Dona;80 o més;208;184;380;1;0;364;4;0;9;199;10;64;136;251;16;46
CATALUNYA;GLOBAL;2022-01-19;Home;0 a 9;2717;85;6881;0;0;14;0;0;21;2696;23;1050;74;5741;680;0
CATALUNYA;GLOBAL;2022-01-19;Home;10 a 19;2520;70;10603;0;0;12;0;0;18;2502;17;1275;57;8450;566;355
CATALUNYA;GLOBAL;2022-01-19;Home;20 a 29;1027;103;1018;0;0;21;3;0;9;1018;9;296;62;575;195;475
CATALUNYA;GLOBAL;2022-01-19;Home;30 a 39;1629;136;1397;0;0;38;9;0;23;1606;21;432;90;716;146;1074
CATALUNYA;GLOBAL;2022-01-19;Home;40 a 49;2073;164;1816;0;0;82;16;0;20;2053;16;574;112;970;138;1246
CATALUNYA;GLOBAL;2022-01-19;Home;50 a 59;984;152;912;1;2;222;55;0;20;964;22;299;110;547;71;817
CATALUNYA;GLOBAL;2022-01-19;Home;60 a 69;433;101;431;1;6;388;114;0;9;424;12;143;73;287;32;385
CATALUNYA;GLOBAL;2022-01-19;Home;70 a 79;320;88;366;1;1;359;75;0;4;316;5;101;65;262;12;69
CATALUNYA;GLOBAL;2022-01-19;Home;80 o més;158;108;192;1;1;379;11;0;7;151;6;47;83;143;7;15
CATALUNYA;GLOBAL;2022-01-18;Altres;N/A;616;1447;1052;4;2;140;33;0;199;417;199;217;1326;866;60;61
CATALUNYA;GLOBAL;2022-01-18;Dona;0 a 9;3715;400;14603;4;1;12;4;0;110;3605;128;2086;343;11765;916;0
CATALUNYA;GLOBAL;2022-01-18;Dona;10 a 19;3519;711;15717;1;0;16;2;0;116;3403;135;1704;516;11580;788;310
CATALUNYA;GLOBAL;2022-01-18;Dona;20 a 29;1695;2024;3541;7;0;32;4;0;129;1566;159;668;1250;1980;165;491
CATALUNYA;GLOBAL;2022-01-18;Dona;30 a 39;3113;2743;5590;14;2;56;5;0;240;2873;286;1068;1858;2982;190;1175
CATALUNYA;GLOBAL;2022-01-18;Dona;40 a 49;3667;3564;6618;8;1;56;12;0;266;3401;321;1280;2393;3689;123;1256
CATALUNYA;GLOBAL;2022-01-18;Dona;50 a 59;1639;3067;3698;17;0;118;27;0;179;1460;217;669;2126;2395;84;759
CATALUNYA;GLOBAL;2022-01-18;Dona;60 a 69;779;1487;1708;13;6;188;53;2;70;709;90;314;1084;1158;43;463
CATALUNYA;GLOBAL;2022-01-18;Dona;70 a 79;529;1059;1170;29;2;186;24;2;78;451;92;236;819;856;24;69
CATALUNYA;GLOBAL;2022-01-18;Dona;80 o més;477;2689;1194;36;0;356;6;7;188;289;192;177;1785;804;14;40
CATALUNYA;GLOBAL;2022-01-18;Home;0 a 9;4060;394;15222;1;0;10;0;0;84;3976;97;2216;319;12104;1076;1
CATALUNYA;GLOBAL;2022-01-18;Home;10 a 19;3868;616;15972;3;0;8;0;0;105;3763;117;1813;453;11792;922;424
CATALUNYA;GLOBAL;2022-01-18;Home;20 a 29;1418;984;2627;5;0;23;3;0;83;1335;113;518;660;1349;255;645
CATALUNYA;GLOBAL;2022-01-18;Home;30 a 39;2203;1200;3407;5;2;40;10;0;118;2085;143;705;828;1687;236;1354
CATALUNYA;GLOBAL;2022-01-18;Home;40 a 49;3008;1479;4525;14;3;86;18;0;143;2865;196;972;1046;2249;172;1613
CATALUNYA;GLOBAL;2022-01-18;Home;50 a 59;1397;1345;2332;21;2;213;47;1;104;1293;128;538;965;1339;67;984
CATALUNYA;GLOBAL;2022-01-18;Home;60 a 69;644;1083;1127;31;5;385;109;1;71;573;82;267;786;734;46;433
CATALUNYA;GLOBAL;2022-01-18;Home;70 a 79;417;1095;822;29;9;344;74;6;70;347;79;196;858;573;13;55
CATALUNYA;GLOBAL;2022-01-18;Home;80 o més;289;1208;643;44;5;366;8;6;80;209;89;150;861;465;8;13
CATALUNYA;GLOBAL;2022-01-17;Altres;N/A;779;1657;1330;9;3;144;32;0;259;520;260;261;1514;1092;36;37
CATALUNYA;GLOBAL;2022-01-17;Dona;0 a 9;4227;506;14149;2;0;14;3;0;161;4066;150;2142;424;10755;1016;1
CATALUNYA;GLOBAL;2022-01-17;Dona;10 a 19;3911;750;16332;1;0;18;1;0;135;3776;143;1726;537;11606;745;247
CATALUNYA;GLOBAL;2022-01-17;Dona;20 a 29;1956;2290;4296;6;1;36;4;0;181;1775;203;705;1394;2193;139;339
CATALUNYA;GLOBAL;2022-01-17;Dona;30 a 39;3598;2911;6482;17;0;56;5;0;341;3257;366;1269;1898;3344;140;899
CATALUNYA;GLOBAL;2022-01-17;Dona;40 a 49;4276;3830;7865;11;0;66;12;0;388;3888;433;1522;2632;4246;107;1056
CATALUNYA;GLOBAL;2022-01-17;Dona;50 a 59;2032;3408;4484;10;2;112;30;1;219;1813;238;822;2338;2734;43;718
CATALUNYA;GLOBAL;2022-01-17;Dona;60 a 69;1022;1763;2206;18;7;199;54;3;118;904;127;428;1304;1417;34;305
CATALUNYA;GLOBAL;2022-01-17;Dona;70 a 79;630;1464;1453;15;3;186;27;3;110;520;104;290;1118;1045;15;42
CATALUNYA;GLOBAL;2022-01-17;Dona;80 o més;703;4579;1837;41;3;350;5;7;289;414;303;286;2961;1184;13;13
CATALUNYA;GLOBAL;2022-01-17;Home;0 a 9;4664;650;15018;3;0;12;0;0;196;4468;198;2303;550;11365;1057;1
CATALUNYA;GLOBAL;2022-01-17;Home;10 a 19;4422;587;16593;3;0;6;0;0;131;4291;134;1899;437;11754;764;276
CATALUNYA;GLOBAL;2022-01-17;Home;20 a 29;1670;983;3091;5;1;19;3;0;107;1563;117;568;639;1492;183;501
CATALUNYA;GLOBAL;2022-01-17;Home;30 a 39;2620;1352;4176;6;0;37;10;0;186;2434;194;855;944;1967;173;1100
CATALUNYA;GLOBAL;2022-01-17;Home;40 a 49;3644;1910;5484;10;4;71;21;0;255;3389;285;1147;1373;2628;129;1295
CATALUNYA;GLOBAL;2022-01-17;Home;50 a 59;1959;1771;3081;16;1;211;49;2;173;1786;187;734;1284;1651;70;827
CATALUNYA;GLOBAL;2022-01-17;Home;60 a 69;810;1416;1433;22;4;385;115;2;115;695;124;326;1038;870;34;306
CATALUNYA;GLOBAL;2022-01-17;Home;70 a 79;558;1382;987;27;5;344;70;3;101;457;109;254;1077;692;8;29
CATALUNYA;GLOBAL;2022-01-17;Home;80 o més;380;1775;808;39;3;341;6;17;150;230;164;161;1228;570;8;6
CATALUNYA;GLOBAL;2022-01-16;Altres;N/A;267;570;476;5;1;140;30;0;82;185;82;60;533;361;17;30
CATALUNYA;GLOBAL;2022-01-16;Dona;0 a 9;2560;180;4284;2;0;14;3;0;67;2493;72;584;152;2095;417;0
CATALUNYA;GLOBAL;2022-01-16;Dona;10 a 19;2271;171;4744;2;1;12;1;0;32;2239;38;587;120;2479;315;165
CATALUNYA;GLOBAL;2022-01-16;Dona;20 a 29;1117;468;1699;4;0;41;4;0;69;1048;79;284;299;669;81;172
CATALUNYA;GLOBAL;2022-01-16;Dona;30 a 39;2063;586;2763;16;1;52;7;0;92;1971;94;461;405;937;89;480
CATALUNYA;GLOBAL;2022-01-16;Dona;40 a 49;2537;601;3542;9;2;73;13;0;83;2454;94;587;438;1312;57;678
CATALUNYA;GLOBAL;2022-01-16;Dona;50 a 59;1145;426;1749;5;2;118;32;0;48;1097;54;305;300;768;35;458
CATALUNYA;GLOBAL;2022-01-16;Dona;60 a 69;514;324;790;13;3;198;52;1;26;488;30;112;252;366;21;130
CATALUNYA;GLOBAL;2022-01-16;Dona;70 a 79;269;327;457;14;1;194;25;3;18;251;21;70;265;231;5;12
CATALUNYA;GLOBAL;2022-01-16;Dona;80 o més;233;603;763;19;0;352;4;8;42;191;48;86;469;483;0;1
CATALUNYA;GLOBAL;2022-01-16;Home;0 a 9;2627;203;4526;3;0;14;2;0;68;2559;76;607;181;2289;478;0
CATALUNYA;GLOBAL;2022-01-16;Home;10 a 19;2485;153;4872;1;0;5;0;0;31;2454;35;606;117;2419;385;174
CATALUNYA;GLOBAL;2022-01-16;Home;20 a 29;914;235;1361;3;1;15;3;0;39;875;46;230;161;502;115;213
CATALUNYA;GLOBAL;2022-01-16;Home;30 a 39;1595;289;2018;6;2;41;11;0;52;1543;56;351;204;677;93;574
CATALUNYA;GLOBAL;2022-01-16;Home;40 a 49;2223;351;2839;6;2;75;22;0;61;2162;69;514;259;966;77;809
CATALUNYA;GLOBAL;2022-01-16;Home;50 a 59;1122;331;1490;20;4;218;55;1;35;1087;42;291;243;570;30;539
CATALUNYA;GLOBAL;2022-01-16;Home;60 a 69;423;317;566;14;2;397;117;0;40;383;42;117;241;248;11;141
CATALUNYA;GLOBAL;2022-01-16;Home;70 a 79;221;338;350;26;0;342;70;4;29;192;28;59;286;187;3;6
CATALUNYA;GLOBAL;2022-01-16;Home;80 o més;166;408;344;38;1;339;3;12;33;133;37;54;331;206;0;1
CATALUNYA;GLOBAL;2022-01-15;Altres;N/A;518;1689;758;12;2;142;31;0;273;245;273;99;1597;617;8;11
CATALUNYA;GLOBAL;2022-01-15;Dona;0 a 9;2150;244;6233;6;0;14;3;0;88;2062;94;746;216;4382;2115;0
CATALUNYA;GLOBAL;2022-01-15;Dona;10 a 19;2237;375;8695;3;0;12;0;0;55;2182;58;697;271;5879;1089;290
CATALUNYA;GLOBAL;2022-01-15;Dona;20 a 29;1139;1031;2042;8;1;37;4;0;117;1022;131;274;655;889;73;224
CATALUNYA;GLOBAL;2022-01-15;Dona;30 a 39;1908;1181;2882;8;0;49;7;0;142;1766;155;489;792;1212;88;537
CATALUNYA;GLOBAL;2022-01-15;Dona;40 a 49;2226;1423;3502;15;0;64;12;0;155;2071;182;548;976;1547;58;1020
CATALUNYA;GLOBAL;2022-01-15;Dona;50 a 59;1238;1182;2153;14;7;114;32;1;89;1149;106;330;813;1057;37;675
CATALUNYA;GLOBAL;2022-01-15;Dona;60 a 69;592;682;1083;12;1;187;53;0;31;561;35;172;538;576;21;132
CATALUNYA;GLOBAL;2022-01-15;Dona;70 a 79;333;547;641;9;2;185;26;2;38;295;41;89;449;361;8;12
CATALUNYA;GLOBAL;2022-01-15;Dona;80 o més;260;1129;710;28;1;340;4;10;63;197;74;86;801;416;0;2
