Entity,Code,Day,new_vaccinations_smoothed
Afghanistan,AFG,2021-02-23,1367
Afghanistan,AFG,2021-02-24,1367
Afghanistan,AFG,2021-02-25,1367
Afghanistan,AFG,2021-02-26,1367
Afghanistan,AFG,2021-02-27,1367
Afghanistan,AFG,2021-02-28,1367
Afghanistan,AFG,2021-03-01,1580
Afghanistan,AFG,2021-03-02,1794
Afghanistan,AFG,2021-03-03,2008
Afghanistan,AFG,2021-03-04,2221
Afghanistan,AFG,2021-03-05,2435
Afghanistan,AFG,2021-03-06,2649
Afghanistan,AFG,2021-03-07,2862
Afghanistan,AFG,2021-03-08,2862
Afghanistan,AFG,2021-03-09,2862
Afghanistan,AFG,2021-03-10,2862
Afghanistan,AFG,2021-03-11,2862
Afghanistan,AFG,2021-03-12,2862
Afghanistan,AFG,2021-03-13,2862
Afghanistan,AFG,2021-03-14,2862
Afghanistan,AFG,2021-03-15,2862
Afghanistan,AFG,2021-03-16,2862
Afghanistan,AFG,2021-03-17,2882
Afghanistan,AFG,2021-03-18,2902
Afghanistan,AFG,2021-03-19,2921
Afghanistan,AFG,2021-03-20,2941
Afghanistan,AFG,2021-03-21,2961
Afghanistan,AFG,2021-03-22,2980
Afghanistan,AFG,2021-03-23,3000
Afghanistan,AFG,2021-03-24,3000
Afghanistan,AFG,2021-03-25,3000
Afghanistan,AFG,2021-03-26,3000
Afghanistan,AFG,2021-03-27,3000
Afghanistan,AFG,2021-03-28,3000
Afghanistan,AFG,2021-03-29,3000
Afghanistan,AFG,2021-03-30,3000
Afghanistan,AFG,2021-03-31,3000
Afghanistan,AFG,2021-04-01,3000
Afghanistan,AFG,2021-04-02,3000
Afghanistan,AFG,2021-04-03,3000
Afghanistan,AFG,2021-04-04,3000
Afghanistan,AFG,2021-04-05,3000
Afghanistan,AFG,2021-04-06,3000
Afghanistan,AFG,2021-04-07,3000
Afghanistan,AFG,2021-04-08,3714
Afghanistan,AFG,2021-04-09,4429
Afghanistan,AFG,2021-04-10,5143
Afghanistan,AFG,2021-04-11,5857
Afghanistan,AFG,2021-04-12,6571
Afghanistan,AFG,2021-04-13,7286
Afghanistan,AFG,2021-04-14,8000
Afghanistan,AFG,2021-04-15,8000
Afghanistan,AFG,2021-04-16,8000
Afghanistan,AFG,2021-04-17,8000
Afghanistan,AFG,2021-04-18,8000
Afghanistan,AFG,2021-04-19,8000
Afghanistan,AFG,2021-04-20,8000
Afghanistan,AFG,2021-04-21,8000
Afghanistan,AFG,2021-04-22,8000
Afghanistan,AFG,2021-04-23,8846
Afghanistan,AFG,2021-04-24,9692
Afghanistan,AFG,2021-04-25,10538
Afghanistan,AFG,2021-04-26,11384
Afghanistan,AFG,2021-04-27,12229
Afghanistan,AFG,2021-04-28,13075
Afghanistan,AFG,2021-04-29,13921
Afghanistan,AFG,2021-04-30,13921
Afghanistan,AFG,2021-05-01,13921
Afghanistan,AFG,2021-05-02,13921
Afghanistan,AFG,2021-05-03,13921
Afghanistan,AFG,2021-05-04,13921
Afghanistan,AFG,2021-05-05,13921
Afghanistan,AFG,2021-05-06,13921
Afghanistan,AFG,2021-05-07,13921
Afghanistan,AFG,2021-05-08,13921
Afghanistan,AFG,2021-05-09,13921
Afghanistan,AFG,2021-05-10,13921
Afghanistan,AFG,2021-05-11,13921
Afghanistan,AFG,2021-05-12,12621
Afghanistan,AFG,2021-05-13,11321
Afghanistan,AFG,2021-05-14,10022
Afghanistan,AFG,2021-05-15,8722
Afghanistan,AFG,2021-05-16,7422
Afghanistan,AFG,2021-05-17,6122
Afghanistan,AFG,2021-05-18,4822
Afghanistan,AFG,2021-05-19,4822
Afghanistan,AFG,2021-05-20,4822
Afghanistan,AFG,2021-05-21,5040
